Cód. Parceiro;Qty;Prazo Cross Dock
7891437842362;1104;10
7891437842669;1558;10
7891437668559;477;10
7891437668566;758;10
7899826704086;691;10
7899826704093;821;10
7899826704109;1482;10
7899826704079;2695;2
7899826705243;1488;10
7899826713767;3176;10
7899826713774;2672;10
7899826709623;1639;10
7899826709630;175;10
7891437397992;2632;10
7891437398005;346;10
7891437398012;1;2
7891437124246;2935;10
7891437702536;4402;10
7891437702567;11128;10
7891437702574;11125;10
7891437702581;7968;10
7891437702598;37784;2
7891437702604;6762;2
7891437526743;613;2
7891437844199;200;10
7891437390375;363;10
7891437323823;10334;10
7891437323830;15386;10
7891437325940;14439;10
7891437325971;6715;2
7891437370391;7134;10
7891437370407;4695;10
7891437370414;7521;2
7891437370421;2568;10
7891437370445;0;10
7891437393277;2;2
7891437393284;842;10
7891437393291;633;2
7891437393307;2411;10
7891437393314;2287;10
7891437617052;950;10
7891437625637;892;10
7891437683965;9045;10
7891437528952;12918;10
7891437528969;6168;2
7891437413685;2000;10
7891437413692;23700;10
7891437413708;6426;10
7891437413715;42841;10
7891437759400;6338;10
7891437871140;663;2
7891437871188;131;10
7891437871225;106;2
7891437871263;275;10
7891437988107;909;10
7891437988152;861;10
7891437988169;1162;10
7899826716287;1870;10
7899826716294;425;10
7891437091272;4867;10
7891437091289;6819;2
7891437745786;6198;10
7891437229262;11069;2
7891437229279;3562;10
7891437229286;8484;10
7891437233283;7178;10
7891437233290;11495;10
7891437233306;13734;2
7891437563847;255;10
7891437563854;79;2
7891437229156;2010;10
7891437229125;6085;10
7891437384572;2166;10
7891437121412;160;10
7891437121429;508;10
7891437003787;1131;2
7891437497159;113;10
7891437497166;3985;10
7891437831304;79;10
7891437831311;325;10
7891437624760;3353;10
7891437624777;2794;10
7891437732281;2215;10
7899826706189;1401;10
7899826704390;2123;10
7891437442654;114;10
